Date,Close,High,Low,Open,Volume
2020-02-04,702.4179077148438,709.4751832182104,692.0997079853373,698.5729568672896,1129876
2020-02-05,703.2939453125,707.5282864776862,697.4534419604238,701.9311374319466,1189761
2020-02-06,702.7099609375,719.1120184043945,687.232602360071,712.0547430968725,5687405
2020-02-07,688.7900390625,695.2632876972752,676.5250051797078,689.1794297370261,7357814
2020-02-10,683.290283203125,691.126280557901,677.7904517124879,687.1839523893667,1841499
2020-02-11,686.3078002929688,694.8252009830413,679.980588351772,694.8252009830413,1862531
2020-02-12,684.507080078125,693.0731407213589,679.9320067329622,689.1794713914635,2266491
2020-02-13,684.7017211914062,689.763443389184,680.9540291106322,687.6219729575123,2356429
2020-02-14,698.5729370117188,702.271910805122,685.7724759733348,685.7724759733348,1845960
2020-02-17,693.6085205078125,711.8114368261067,691.7103447937402,699.4003656199079,1402215
2020-02-18,687.28125,692.0510183769593,675.5515838063584,691.9049820217294,1225756
2020-02-19,690.2014770507812,697.4534473178489,685.675122565757,686.2591491403817,894396
2020-02-20,681.002685546875,689.2767321865999,679.4452417091729,687.378616075861,1883153
2020-02-24,654.9638061523438,678.4718576985033,651.2161733146322,676.5250230996553,1771815
2020-02-25,651.3622436523438,661.923798136957,649.6587632894913,661.923798136957,2838451
2020-02-26,651.9948120117188,658.0300103799863,646.8843718423476,650.3399909314837,2122196
2020-02-27,645.1809692382812,653.455016220066,637.1989355615536,651.3134862951864,1302115
2020-02-28,622.9871215820312,641.8714424700593,618.3147300527023,638.7078359932755,2408425
2020-03-02,613.0581665039062,634.960054426572,604.0053980450724,627.8541204497529,2408228
2020-03-03,632.3318481445312,642.9907793580551,618.4119927728989,620.0668140492863,2135990
2020-03-04,646.7384643554688,649.512679837362,626.1993241075361,635.8361789410063,2723269
2020-03-05,658.5654296875,668.3969795762653,648.295889565654,650.242724068854,2089837
2020-03-06,645.8624267578125,655.8886138136417,639.7299091926106,647.3225528167977,3466958
2020-03-09,633.8406982421875,646.8844544059817,626.3940321370262,627.8541580860635,1461377
2020-03-11,621.8189697265625,642.0660380216557,618.558045482256,634.7654081499145,1987343
2020-03-12,578.01513671875,612.279434944776,568.1349875258297,612.279434944776,4991398
2020-03-13,589.744873046875,599.5764238513708,491.3324035088391,535.3795382463824,1820676
2020-03-16,583.0769653320312,616.0271173206987,560.6883673309683,580.0106770581191,2477918
2020-03-17,599.7223510742188,629.0709052749396,580.4973601586596,589.1607975515004,2067269
2020-03-18,596.6074829101562,620.4074882044519,589.5988665149033,609.3592256890579,2352295
2020-03-19,618.1199340820312,636.6148612435409,562.6838115759194,578.696536711445,2680525
2020-03-20,624.8851928710938,647.4197657442246,614.4696167910711,623.6684213526955,2708797
2020-03-23,576.4089965820312,615.1509877698601,570.5197752183362,593.7844691688726,1677165
2020-03-24,576.457763671875,611.3060927451958,569.9845145616509,570.6659185857818,1545462
2020-03-25,551.44091796875,583.3203355565286,543.2641886239123,565.5554692671558,3016481
2020-03-26,543.799560546875,553.971723093475,527.9815305232388,551.4408620547624,3907851
2020-03-27,533.5299682617188,575.873618422575,527.9328191025252,550.0294024483112,4900000
